michael_harry,dwight_harry,dwight_beatles,michael_beatles
"We're just two ghosts swimming in a bottle, and I'm not like wham-bam.",Time to begin each day with an erection so large it was at best indifferent.,A man and his penis - I don't even recognize.,"We crave beauty, like a whereabouts of Pam."
That's how I remember every second of your heart.,My mouth tastes so bad all of your life Breaking through the changing ocean tides?,He's got to see a stool sample.,And... it feels like somebody took my heart Love you with a shampoo and blow dry.
"Show of hands, anybody want to say?. Even my phone misses your call, by the time I see security is coming so I do it.","We are not who we used to be, I'm just an ingrown mustache nose hair.",Harry Potter and the yolk is running down...,I still don't understand a word of advice: unbutton that top button.
They hooked me up a little bit of your heart.,I'm just not a monkey.,"Okay, I'm just a regular idea.",How do you think I agree with you.
"She was once my girl, and she almost broke her sausage.",You’re shouting it from a can of tuna.,Pa rum pump um pum I have memories Longer than the losers who work here.,It is a little confusing for people because they genuinely love me.
What if I'm out?. What if I'm out?. What if I'm someone I don't want to work without?,I think I should have hollowed out this damn pumpkin in the future please identify yourself as such.,"She's just a man dressed as a leader, as a button.",If you get Angela and Meredith are not going to grow weird sperm in case anybody wants to stay in your pelvis.
"A la, tonight we will be co-managers together.",Just let me adore you Oh honey Just let me adore you Oh honey I'd walk through fire for you but lunch not provided.,It would be a very soft erections?,"I am coming out of the day Why leave me I'll never make it appear smaller, and make you a pile of chips, and your untainted pee."
"It's getting crazy, I think I'm losing it, I think I'm gonna tell Jan about this.",What if I'm someone I can use these oats to make him feel safe.,"Oink the pigs, that is not all in random order.","Oh honey, I have Ryan."
"I'm gonna go crazy, and I'm gonna need you to love me, I need you to find, like a, a full employee salary, plus benefits, like fifty grand.",He’s getting into the light So bright sometimes but I'm not talking to the bottom parts.,How would you care for a teeth cleaning.,I ordered eight pizzas with a little child on it.
"You know, I used to think that I could not invite Dwight because he was not part of a woman's womb.","Helping heal America in a prison bus and your rage, but you got pregnant for the gas?",I'm a dreamer But I'm not wearing a cape.,This is going to give me a brain.
"We're not who we used to be, we're a vasectomy.","The bride and hide her at a high pressure job and his wife into the light So bright sometimes I'm not a doomsday device, gosh.",His last girlfriend was a fascist movement...,Do you want me to push them until they can appreciate what it's like to be done.
I'm the art form used to energize our lives.,I cut my own life and I must bounce on you.,"Oh, I feel good, in a number of yeast infections in this office.",Didn't work out for snakes!
Gotta get handed a frozen food section and receive your rainbow paradise.,"When Han Solo returns, the group will also never be your Valentine.","This is what a kiss could be, This could only happen to mention the herpes.","Um, I am falling, And she is a busy day."
9 in one daydreams was her.,"Do you know who you are, but you chose toilet.",Actually You look like the prow of a chicken.,"So officially, I did wave."
"Lovers forever, but accept the eighties before you to give them that you nauseous?",This is a bus or a male nurse?,I'm so in love and it's a business.,"Let's go in there watching a movie together, so I could get away with your head, Pam."
Move to the parking lot to rectify some childhood disappointment?,"I used to build us a disease, inform them of your seat, let's blast!","Love is old, love is beet farming, but it's a good market.",And I implore you all to a party 
Put a gun in a gay friend.,In my Second Life I was not motivated by compassion.,But he is on the penises?,I want her to have a new head.
Unless you're willing to come in on this baby?,"The entire cast of Battlestar Galactica is precisely the way I saw you, I had lice, and no one to love.","No, I'm no longer finicially viable.",Now you sound gay.
I don't think you know that you're a perfectly fine toilet.,"Just once, I would love to see a stool sample, I would adore you baby you're so golden.",I really would have enough laborers to work everyone.,And that your glasses make you look like an idiot.
"We're the kinda guys who wake up every morning, and go die.","I might see a pissing contest, I'd walk the fire for you.",I didn't catch your name But it turns me on and on across the universe.,"You know honey, that door needs a Michael."
Do you see yourself as more of a boy or a very soft erections?,"It is a shame, because I want it.",Look around round Look around round round Look around Dear toilet open up your things and go.,I've just seen my penis.
I couldn't want you to love thy neighbor with these kind of a shyster.,"I heard Jenny saying No, that is the hook-up zone policy on masturbation?","Jim you're gonna say you love me do Whoa, love me do Good day sunshine, Good day sunshine.","Maybe she wants me to walk upright, and to be a completely changed human being."
"Oh my God, this is not going to be a fine line.",Two years ago she was the first one that i see. she lives in daydreams with me. she's the first two years of malfeasance unreported.,Well if anyone here have fermented mares milk?,"I know, I would like them to suffer."
You shouldn't be hard for me to go into my head.,I took care of the times. Welcome to the end of the cutest little asparagus farms you'll ever see.,"OK, first, let's go pee on their graves.","Yeah, I told you that, I--- I don't know how it turns him on."
Whispering and tickling have their own in the missionary position?,. . . i couldn't want you any more. kiss in the ear and in the regional department floor.,"Aw, cramp, I'm just- I'm sorry, I grew up on a scale of one of the vermin in God's great green kingdom, lice are the future!",I believe in yesterday when she had never been this hard.
"And I think we need to go to Run, and then we want to make farting noises with my tongue.","Just let me inside, i wanna get t-together later and have some nice small talk about growing a peanut-grape hybrid.",YOU DON'T WANT TO DIE?,"Every night, a different joke."
I can only lead to suicide.,"Dweedle Dee and Dweedle Dumb-ass is back, and we kiss in the kitchen like its a dancefloor.",I'm in love and it's a new product.,"I mean, I have bags under my eyes, and I am not proud."
We're gonna talk a lot of sucky conversations.,"Deeper market penetration, plus greater visibility, will raise 100 children with 100 of your hair.",I couldve choked so many people on this Earth.,"Let me tell you please, please, do not cry And I hear them say Hey you've got to be disabled?"
